validator,status
0xb2bd458728e46ecb10021ef54d68b8beb6b6d87dcab2e8ae9bef0f8b1f34d739c4eeb8a4bad0710c83f40fcc53c00663,validator shashed
0x8b9f0fc2a18d1422b00cb81805b06ad87b236745e3cd9fe615830ea7e0064055a2683e1bedd059815467b579d32e6dc9,validator shashed
0xaa0d5984edfc0a5e9f93f0b34c24cc2bb1df2138b85668cca12daf3a9bac4f399235e21d5a5ae4391d7256ff8d7bb830,validator shashed
0x939ff3eee1dad897def0fa02cd7e27a1a0846267c269e633aced63f48eeb815bf3d39ab35e6f22415eff5613a996a5f8,validator shashed
0x8e1f0fb32faeb4e592bc4402e4e0f7f8295e0182e6da1e72e8156b7889b6ea71d48d3b5be6abca60604a779f83fe8ef0,validator shashed
0x87545fb57930b12267710711c02fae93fb76042f2137afab75559205a10f36233b32b62c2309aab836f54a53ec663b72,validator shashed
0x831e766b7fc4aaab4db49d155c94356a2f5a97e71cce55f392281567f89485f0b17b5afb3381801ad688d579966d05b1,validator shashed
0xa53dd7808f059e2bbfcdc9afa123d4148252bb3ceb8b93029236a97b36b0d4cc42b22b171c19666d900ac6eccad97699,validator shashed
0xa13690aca5544fc29027835e155499b41f599f91a00798586b0ba0156441bb47786ad8395a69f28d096ee5fb75959a54,validator shashed
0xb4009adf9e04f6f6a4527d87bf331cdb4f3727f96b49fec755479e8fa36ebd7c17081d7bf3219ed3dce33acaf34dc7c5,validator shashed
0xa2cf3110f3d046703cd824e34477c1b54707348c6e953518a72da9f6eb7f20c9492afdd434bf7f77d36a556b96dbdb1f,validator shashed
0xb0dfb5f1e4756bbba6fb522df805c20dd27d0352203182f405ec5a98324f063f5c0ac696bbcdd1270e17ebc5e7178653,validator shashed
0x9496b38db5492c84bc04f434b06ecad66c1e530bd8d4bb21ed146ef4863eec5bf1f485f499bfe96fb792c80d8f34e622,validator shashed
0x861cb57989bb0971b92c8d29a9ddf20df54dd2df1f41a4da6c96bbd3339724e8e254d668f6c7c5631a861f3d4cf7e8b9,validator shashed
0x931d062f10e08e52d73f1786a25d72e8c071a618f3caa00d381daedcfe2d45f5b8afdbbe301f0d80346734fbfd04c45d,validator shashed
0x969d23c05c1e682da78e7311f035f3c74083148a1fce776a715d10b7bb7961fd41d7b48b9142ddd0ff18fb7d8e6a3f8a,validator shashed
0x93a210e6d2d99206dc9dbf133528cf3c48634ace336b95f4816d086047a6e9e79da468f65b2644d92310a9d4c1d12a21,validator shashed
0xaa973066b3c03dcb289c7fb3c5eb391cc16247f6e8565b49829f41ce28d7e56f0e8ec3317f952739e42939302b5ff881,validator shashed
0x83523cfbd7555fecb58751749adf02576aed1509cdd010354bdfdfc4460d55caf1a7441e856aca191f1e98045179d182,validator shashed
0x914552e91b30eefe4b4173ea16e116b6ee5e90222e5199f4556f1f118a83663e3ecf8d42f79ccecf3d3a25b9d6034693,validator shashed
0x8507800999deeaf57cc21526ff5c3562007a27e414d52274cbe15664ebf0b1610c1b19779117d32ace531bdd66d3f5fe,operator to be checked
0xb2bd458728e46ecb10021ef54d68b8beb6b6d87dcab2e8ae9bef0f8b1f34d739c4eeb8a4bad0710c83f40fcc53c00663,operator to be checked
0x90fd01fcd6dd9eb11608796cf7e1ff344df2b56c95c22c13d2beeb64b8c8400e969a58cd31baac4b5f80215f9865ecfc,operator to be checked
0x99a30820e490347fc52b63bb5054ac63cb5488fc6ba3737868c891d431a48df4917ec0e7e24ca2ca73f7574e777a78ba,operator to be checked
0xa82805a66faa364eec0c63c7ea1d9cddc2a4756fda3d6856fa3497499917ffb86b520744a311cfd7cdc27185b2ccc0fa,operator to be checked
0x93b9c97e89063de339bcbe8224533604d91a849662e2d26a0532fc1403c8b11bf5a9eb06f9f717de54a22e30ec1a9958,operator to be checked
0xa1781eae309e1b4f05c8867d622898db3d707222ea6f961b6fe70cb1b50f23c1698debf43ff038ffb712a62978a0c59c,operator to be checked
0xb6d2102960d5025cfa313bf2a5b9cffbe5466d5ed339f9992b4363eec85025aa5ac98e3e37dc5139414202ee8e50ea06,operator to be checked
0xaa7a56bf30cf72da97d4561f9b01181bbe8f483b977b4849e7cd2f4974ae0ca90b7d2ee2a5967739c2a8303a516a9116,operator to be checked
0xa6b9cec5f95d2d09d47a0e546cce0637ad429448abaab04d782c8f0fefc5ccbc74b660078ea7290db11195dcd7f80f7e,operator to be checked
0xa58046c570a46ab23bbfd8275101d096ae87f16b19fcacdde3e6e7765b64d3ace5a2161ff000eb0aac9c174e2ab3e640,operator to be checked
0x83bf3f9648525259ba2fe133858a60803c4409bcfccf9e4e21dbb8bad5e54357d7d2b94b0bab2f980c9a81fe00c0ce31,operator to be checked
0x9684cf7846c8d5684931986401a2608df3f1e2e38e5062ff53205ccf622c144c4ddb6cf63488a3535bd6d56544aed35b,operator to be checked
0x8a2d2b3aa74714fe6f6b60f86716b858e42068f16a229bc6d468f0893c9a1b908de6d84227b99aff75255824c437d86e,operator to be checked
0x8bf6386eef1ee252a3248c56c246bc86f38347c861898074fd7922f41372b8f9eab228aa61d61a6ceedc53c1d0e8414b,operator to be checked
0x861cb57989bb0971b92c8d29a9ddf20df54dd2df1f41a4da6c96bbd3339724e8e254d668f6c7c5631a861f3d4cf7e8b9,operator to be checked
0x829c673f418dc99123fa5f3778bf579ad4b4760d89f0883eeb803aa19bbc0efd11b93e60f8d875f171c02058622bee2b,operator to be checked
0x99feb4212b00bde9e38c4537aa46d5c69e0c22a96c5faa5f736f99c2fadea867a17e66d5cb6ff60411d3e778ec27ec9b,operator to be checked
