validator,va_status
0xa6c9db55b40d058c68ac95c314d09dea4c1fc1311fe7135403f836960f4220bdc5fdd605e6aeeb3cac744f7315608e9c,Not active. Please check for a new committee set up
0xb406914f2360842d07c12e1a0ba596cea1722012c692516ef5c2a57b899fbe717b5aa367fa33da43eecd1bbb74cb00fe,Active
0x902cbd667a8afbf18dfecb52e0462a5e7f49a9fffe484bbcc46f56b26d9b47b2f54f4b913232193319feedd77ca9657d,Active
0xb62b727fcee3a59436954fd5a204fecef205aa0246387740b0144fa4274bc460f9fb1c2c9ba39f5cb5f32c37da585763,Active
0xb150b44c8bcc8e4b9c0956f1975dcd1c0f2fb495dfc4dbf18ab04353a3b42102344f97d9e938113256927581bceea2a0,Not active. Please check for a new committee set up
0xb5aeb134f91a8f2f77f116718526ad709b5d23ebf0723679452be12ed3bb4702684a2470dbcf4b2260ec3cce1f3477a4,Active
0xa9371a3094220b6b9402cf5314aba98a1ee95e76439ce401327eb2074bb6b73c100e0c72de1c5f2e9924ee079e083ba0,Active
0x970722dc59d9fa7b4abe6309085ad108716757aa35719b0b5971dc4733379ba0cf7f3ecc683f960e671f5c2538f7e093,Active
0x90c961b72483e177817abd2a4b5ce5399f5d231e95cb94d2f53d0620cfe443f467fa8af7131f0ba91533a02f353849da,Active
0x8ed04a898eaf781a2c0dd7bd3db703ce5020a4e9d8b99b366921f1b7fe2ff4597950bf6de29de3e752439927b0fb2a81,Active
0xb07e35c93d38ef71c233be8279e2ee54e3e4bf487c1616dc2522d92dab45c3b29280e96fe63d82f76059ff86d61a5cc7,Active
0xb233723c5dece8e956ec2b983946e07917dad3a9e16670291063c309d45e7b4abb6f2e8071fc9ece332fbaecf2eaf530,Active
0xacad60a4ae447eca52bf3654fd18f67ed8971290aa5a060ed3d242fdc2e1b7737d231ac0e188afdc4ee86c5ecf84313c,Active
0xa0934100d13341d28afa7483469e2fae3a31a09aadf29ac7adb408a6ab65104880e4875efb921193015a33f6f7c61f13,Active
0xacd9683cfd0e87f4f776aa482335d4d1ec2178168c525bab63204489a996d6d68761094e29f8cf9f5b7b345974e7732f,Active
0xb0b1c7a608b4a90ab16b63652bb746428a78ea168c5e0a7162e3eb2e2b861435a8940508c00e3040a10e1f8cb3530942,Active
0x996f76fcb18a426f9fee7f020962536c9e426d319dc651fe50bba5f5296d7092d96537db3e0375b41e7f32f0b91ff2a3,Active
0xabd81299c051335733b444055cecbb670387aebc616c2f7e15654322afaa413e7bf431d176efc128b7ec99c523868366,Active
0xb54f81b03d1c97b715676e0ba8d7a7b3aa0ac7e6422f93a7ddabac1d2382556620374057f81f9d7730489c57cccd3659,Active
0x93a684cafa77ce2b25fca9a2c660fd336c9648aa5ef46f6a4065f077ccdd68fab05053e6ba2e3f91f0f565504d0882e0,Active
0x86a9e14faa5606ad1c8f6f1cc777713aeb9b62c55dc85f52c3df6b64554ad43acae3d90076edf326778542c1af1101bb,Active
0x86f9810bb2ba3386ace3f77d7cccef25d30885cd77c82d6ff5329cf7244fcc61e7f37521343ea771221526a2c0955670,Active
0x914e507cd54c1a242786997dc279d2e6392d7f88266474cadaf09e681542990fb77ac3280b3b2b66eb448f9928c51a3c,Active
0x8842f796ceab7b3d615c9868461ab30ab6c165c15cff7e7c16b2d28a2f8bd4addca73611abe80cc06fd11eb80712b136,Active
0xb90637497428e89e8bb6552d67dcf9bb0ecf16ae355860cc86d8c0bf4255b2f71c244d4926a52d02a31e4464ae412102,Active
0x934c34b7e5865a0cf3534d9523ccb03488f4b1ad2f4c49919449f7f8e839861786a1779afaccbe995f0800208c9270a4,Active
0xb90dbc572233c1dc979230f1bd51a58a539ecc6e1218da2b4e99430c9f264e4e3705dc6dfb280f99ee4189e897f45c92,Active
0x994dc1f20cea4e335e964e7eafd24a6d3cceeee2ba257608afd6271ac957c7c5b686c99b38d945cc581c3e9b03dd8607,Active
0xa8911fb29db5887c7c9d431c949523cbb6ec9e42220f20bdacf3db4fde6e7a352910d4fa807f9f6f216042e9348a5246,Active
0x899a15452535d872599b815f631f10772f533859b0405220902f0426b6ec0c57c7dc02ebd4f1b418fe0a107ad99216bc,Active
0xa515df7203652d5d019c2212c64fc0bfa47baad5af81c9ed4463b4a079accac0bcf8181c75ea4ee8bb3af5ab489c42aa,Active
0x8e1c71da89e18c4be5950d23116abe4beb6e5436316f49a5eb62425a7cf65910d05dbc189a4b3d33eadb7e2b2640aba2,Active
0x80873924ea834b7b609d9f9896667fccf691f678c7097034e25b6badabbeaa85332d07135c367f46b43137c6934e13e7,Active
0xb523b9399c29ebede3fd9391cef82889da1b43afec090911521c91173421b049cfcf97ccc1768f2d5d97d2687f9df4f2,Active
0x8c3548aa879d974c5542e59ea43bb34db91f92c7d21eca5e3e4fb9d01364c21e8e2341eeaba1d22da67f1f455644afe6,Active
0x892aa10d41a2c88114a17ace7c7d587618564fad4e1c0afe1e3142acdb4dd357ce1b275287d42ed3ff657661a18b553b,Active
0x8ae1876061b433b23ee2dc385739a57094aa32f06aa2fd74ae18a0bebe6391c73b647cdeaa91240feefcd58ad7b64dfb,Active
0x923a78217861b825b2585ba51c0fe00da1165d40589f4f251d3bd6bdb45ee575db06aa5e9e80122b598a9d6dd47e6863,Active
0x854c15cf08b864b8c46a434515b6ec3e572a6747b738539627845b1f49acc9eb43decbe9771afe7bcf9bc2d195868b71,Active
0x93db8ec0289ff8d911eb25328e9d6573f588672c9fff3cb06fd9db5a755a3fe964186ba60ffde0d9dd3318ce4a68ec84,Active
0xb590ef5398503d0804b9f30bd004df7dfa3a7597bb697e9373a3e30e413500c858e652a80ad01a23dd24c2d509b1a3df,Active
0x8de6955e41e88ef9865ece3d604594267d39f4eb8adc58d5215253a625d80ba924160dbd729df71b89e7f879e9725900,Not active. VA is slashed
0xb8e950be48b191fc0fdb298be70098779f8e45a132b1b11262e5e5d88187bf9b91691a9cdaf6ab685e5f9c08c3a25abc,Not active. VA is slashed
0xb52704bfe7ddef327f7ac12869e255e6ca2c35acf60ec01a5dde0bf4c227da10986f81c0ffb9efc01544f0a51fd683fd,Not active. VA is slashed
0xb3e5110527ff531d46b92ffd5b82422bf6106b5e3659f0b228042b29c8cca9d300fe349c3d8b5a30807f95740b03013a,Not active. VA is slashed
0xb71eaa608be74494d2e36e8104cd90aaa8a9b10c3d3097958dcd0116f9b22c3977e1f65d39bcc9aa2e325fa4aad6c5b7,Not active. VA is slashed
0x967ff14fa6941619a9c0e595e7ae226ea1f2caadb07718b184894a2b7c314e533ca505735ad260ee6e60a4c45d4e31a0,Not active. VA is slashed
0xb25f2d19756a704a6ae09e7f12e8d369402ab5434cd43d685c761cb74b89199b5d6fbba78205c5ab42c787e8eb698a9f,Not active. VA is slashed
0xa517db67c47568daa9f8cdf6448f6467bdc195ce4119625647597d48618631cfd530de0fcbfe3b70fc38cd82937ac794,Not active. VA is slashed
0x8afd8182e3a5385075aa8629d86c6b0f1674fd70e09738bd853e8da4b46c8b820127a43faa80520e603781663e90491e,Not active. VA is slashed
0x9349fd0f06fcf6cebb836a77f005f28385c1d60cebb994e1d68cfbdaf3dca31e544c96aadbd10fd1c9ce7bfbc6cfe1b5,Not active. VA is slashed
0xa82e24467c7c348e4a00acd47449cbccaaa821561ac409e6f9a248cc5b41aeae7dd07d70b61bd44bee548369fc70da4a,Not active. VA is slashed
0x97c8ee80cc770ddfda845ac04fe957325185755604f8d9ce66e0caf5ad8c17b0c3fa5e12dcf4df3ebe1cfef85e5fcd8e,Not active. VA is slashed
0xb548e0c4e1ebc36a1b309751991eceaf21ae781300979ab2e83b5ed9a562aa206dd890f785dcdd3e64a2eabe5d3f3d11,Not active. VA is slashed
0x9641b735171ae5af3d8288ccb9f7e73ab1cda9e67700a5b72fb8a6b2b149620ac1cf2f924888f37feca45b668e92dc06,Not active. VA is slashed
0x957cd85f6c8bf586c040195ee1103c40012b0b44cbaeed15256459bc825d06d67f0d8bdd24efd52ec3b9a1478eeb7e2e,Not active. VA is slashed
0x8ba90a0dd23899ff76a49023c6a12921f73d711249933b15065bc721df0f863b9a008514b34c8c8d513e903300bddd35,Not active. VA is slashed
0x817b0acd458a8719bdf0abbf6c6b781161895ea092aae46fff2b4389f2f92ad8dd3452e57527001d35a1dfe39f97e791,Not active. VA is slashed
0xaac3acdece708f5fbb83dc468142225e2e0ae60b3b9290c9375e63e4201d764773771a3246d879d52431431c7939b4f8,Not active. VA is slashed
0xb4044863812ad6c4c09320095e57c602542352d75ac1153dbc997b039b90239e6748bda4040e933e91d04dcfe40e676d,Not active. VA is slashed
0xa4a3a5c8c586db8f6fa5956387827c01c452190d061c78106bef2dca6f6fee1b2a6789df4092f2bf701121bb2c53e47f,Not active. VA is slashed
0xadb17fc1470cf0a7c45cbd0189b05c776dcaa73f215b127326bf6532a99c18a99ed24e3ac64e2d7ef867e0bd70cea15a,Not active. VA is slashed
0xa4eab3d3ea8d49bc85858a8a650f193c69f771b19356cc8257201271ff494b6ef88eb9a0d258d7950b480639cef6e246,Not active. VA is slashed
0xaee5b787184b8c95c8f16756a678c5734562ec809f83f41d70d2e5085f535f6dfa65eec5233f0d0d0648bb7e28a5b48c,Not active. VA is slashed
0x943017d242d092fee6850bc7e94c4f75b2a222243655d1b19950eae1d39e1b5be56e3f77c5c25a318d9954f3b14492a0,Not active. VA is slashed
0xb3a20deb6004c33881a41f91b5b7d7adbda33ca74b36a39bfad71d924973b217505970dbc1dcde953bb2533bd455ec77,Not active. VA is slashed
0x9000fee6f5865ac1900e0b55696e561dd8569abc21cb76f6fd26ceef83d7d57553a67b3c040611c77e1b65be6425546e,Not active. VA is slashed
0xb0748d1e21984c8822ba23da9664e95022868d0e4ce296732dcd8804171ad7b01f12fa609fc50fed343ed4fff0fb2173,Not active. VA is slashed
0xaafa2316f664a66f6e7ab9c0b0051d62ccc34c915d0b91085c1dc23b907154d46c9ec9eb35e11e4c028f2e8dbf3fd41f,Not active. VA is slashed
0xaa54e42478d815baf56525c2bbaa4c32c90890469e04949ed22b56fdaaaf29c17166187ed41d63b9ed0670b97d61f536,Not active. VA is slashed
0x8aaab0b72fde8b632830f8bf157a539116f247f83f779e0b5cffe67ea25be9ab2502f3b95e04109c7b0a02952bde0f04,Not active. VA is slashed
0xa0f4712d2fbeb615454e7a57e1a4783e1e5099b04f1728383ffe12550f99bfe22711fd3a48115344f009266f44c5a291,Not active. VA is slashed
0xa02e3899b29bc1f6d50a7f9e4fc1a6cbf635284f2358bd28bf71f177832f49c0e40b6a1190b17d6f1f61347922c124f4,Not active. VA is slashed
0xa15b11a6ab4181247d5ba9cf44534696547867450001f4aea0292f5faf6d742ce9afb96e0b0f434004275db38b1eecc0,Not active. VA is slashed
0x86e5886945d211b34d8d4db3113a8bbe7f53f18765ffb25a3be1e4552f8140b8a6550b87a4a21afc3ee8cff41405e27b,Not active. VA is slashed
0x873d0b8acc58933ca7472438209ecebe3b53057d2132dca1fc0139e4f15e40a5970c2e1835ecadd13e91953d1c8b670f,Not active. VA is slashed
0x8a1417264401c4e81fd6e5330ee1de7199b80c0dcaf1a3ba426813db4f1bb49ef40c16f0ed7f41d7e089d1bf8dfef51f,Not active. VA is slashed
0xa0334a890c985fdeb0369fdd0ad9763450134ae744e30641029fdec2629d5968975b4741f166f3008e1ec8d1a221e895,Not active. VA is slashed
0x89a1d29438e21bb67bfca4947cc58d3e815d1fa9b8f825a9d26808614ae9f0090dba0e3a3e9df707095b8f37cb79b662,Not active. VA is slashed
0x960f7ec8f501d23853a1d6f02a12334a9468ad60e4df7e5f9344b508934514218224fe445708986c77ebe9fcc7ee66f6,Not active. VA is slashed
0xb9a6a9266eb61172fb1e525c5364bba127776be0c8c22c5a175823663cd7a8ee52f504bf428c61129948bc84e0a6c55f,Not active. VA is slashed
0x8f531b24b728eddcc296d9c1633c476b50892692eb955d5e79e17eaa4b2bd26ea661246055af8f5cabc4418e8c3b1396,Not active. VA is slashed
0xb0b25d84143efb4c61e90d0a249b4d2d70d8c81ecdf6d705c7c7f1be42d4098c69ec36887c6585669d37fac1c012d435,Not active. VA is slashed
0xb9a91b73ff631f703447643b6c12450ac002f9fad4701b4b67bbc4b51397e5177aa67c7d39c3e176e303d755ce8daa52,Not active. VA is slashed
0x8a9fa3cb120384da5127d5f36cf615ef3da08776792e890729aba7e67bf135634c86a743770b28a72f27c4073a2edfce,Not active. VA is slashed
0xa8c47c4823e99ba57115bd9b5028d23f530df8502ad0e9cb664cd211a917b91bd60f4847e5c66dc939da23642f222db8,Not active. VA is slashed
0xa181507397f21381376d8d34ce910e5fdf6e4f5eb02e0c0975644d5d6f8d9e135de2cb6094199c62be20be2cd59bad5b,Active
0x8b568fb80cae07366c7f258a8aed8fb106ae1bb265d1edcd2c666eff5ecf40ad8c522cdadbbe82227be378847dafd277,Active
0x81d7e86a785301c89dfab3d8b7ee3726faa59d9ce59ba91591c41665c44ec990e5f7ec091a5f0c5c204ecec043997898,Active
0xae2aff45bada1969b27e0f59134c1e93a7a10d4dccc47fc76f29b5279fdc0f5a40ff1cc9345ed72f49b932795c7fd302,Active
0x8434ed7961dbb14c6bf8ff834d98fbc44aec94ad629a0fa278ff8f3b538e1b736bad293e05c360cdac28a4dc13b81c5f,Active
0x92e127ed1851d43c09d858ddbe4d294e4aee467e2b2072fa9deb015b7bbed4b45451b8b824e9bb696900179191139352,Active
0x838358ddd1816915519981b9515eabaa30702364117d226ef4bdfd14748297de51deba54b6005090f52f4f35a9f7a8e9,Active
0x9263d0c3f40a9cde0bdba5a481b8824432179a70addcd8258d4d6f951c1ab787eb72cc6b699a40f8255a8f692c96063c,Active
0x9818ff7716da99934cc98878418cc6ae871870efa20d63be38dc2b7ecbe7365178f3ff1b42feab02a282d9f43aae7cd5,Active
0xa862a76a5b720e6ef9cfcc1c4dfafadc32640e72db33a59042b0511bac30eec129e77fdba872e166adef04c727e762c7,Active
